iDISK_ID,Name,CUI,Background,Safety,Mechanism of action,Source Material,Common Names,NHP_Name,DSLD_Name,MSKCC_Name,NM_Name
DSI007834,Homeopathy,None,"Homeopathy is a medical system developed 200 years ago by Dr. Samuel Hahnemann, a German physician. Promoted as a safer and more holistic approach to treating disease, it has remained especially popular in India and some European countries. Homeopathic remedies are highly diluted forms of botanical, animal, or mineral substances which when given in full strength to a healthy volunteer, cause the presenting symptoms of the patient. Opponents argue that the benefits experienced by patients are merely placebo effects , which are no larger than those observed in conventional medicine . In a US national survey, homeopathy was most commonly used for respiratory and otorhinolaryngology complaints . Observational studies suggest that certain homeopathic products can provide long-term relief from symptoms such as headache and allergic rhinitis in adults, and atopic dermatitis and recurrent infections in children . One study suggests benefit with an add-on homeopathic preparation for recurrent tonsillitis . However, adjuvant homeopathy was not helpful for otitis media with effusion , and systematic reviews found data on homeopathy for otitis media or chronic rhinosinusitis to be scant and of limited quality . Higher quality trials also do not support the use of homeopathic remedies for pediatric respiratory tract infections . Only a few studies have been conducted in psychological symptoms and are largely negative. An epidemiological study found only marginal improvement for anxiety and depression among those who consulted practitioners prescribing homeopathy versus conventional care , and another study on homeopathy for depression was terminated early due to recruitment difficulties . In addition, meta-analyses have determined that evidence on homeopathy for ADHD symptoms or psychiatric disorders is lacking , and The European Sleep Research Society does not recommend homeopathy for insomnia . Studies of homeopathy in cancer patients are limited. Various homeopathic care regimens adjunctive to cancer therapy appeared to improve global health status and wellbeing , fatigue , quality of life , and acute radiodermatitis , but not chemotherapy-induced emesis or endocrine therapy-related hot flushes . Other case reports suggest homeopathic remedies may be helpful for advanced cancer or post-treatment breast cancer pain , and a few in vitro studies suggest some homeopathic ingredients may have anticancer effects . However, these observations have not been evaluated in clinical trials and cancer patients should be aware that homeopathy is not a substitute for mainstream care. Unlike remedies used in classical homeopathy, some contemporary homeopathic products may actually contain ingredients in allopathic doses, which has raised concerns about potential adverse effects or drug interactions . In a meta-analysis, the rate of adverse effects from homeopathy was similar to studies that randomized patients to placebo and conventional medicine . The Canadian Paediatric Society states that particular homeopathic treatments called nosodes have not been proven effective against infectious disease and are not alternatives to vaccinations . In addition, homeopathic teething products have been associated with harm in infants, and some researchers recommend against homeopathic remedies in general to treat pediatric conditions .",,"The practice of homeopathy is governed by the Law of Similars: Similia similibus curanturor or “like cures like.” Hahnemann and his followers observed that while certain plants, animals or minerals could cause specific symptoms when ingested by healthy individuals, the highly diluted form of the same substance could relieve similar symptoms in ailing patients. Other principles include tailored treatment so that different people with the same condition may receive different regimens, and the “law of minimum dose” — the idea that a lower dose translates to greater effectiveness (38).
An in vitro study showed that an antidiabetic product commonly used in homeopathy demonstrated anticancer effects by inducing nuclear DNA fragmentation and increasing levels of mRNA expression of apoptotic signal related genes cytochrome c and caspase 3, and by reducing expression of antiapoptotic gene Bcl2 (5). Another product, Phytolacca decandra, exerted anticancer properties in melanoma cells via activation of caspase-mediated signaling and ROS generation (6). However, it is not known if these products will have the same effects when diluted according to homeopathic principles.
Several challenges endure with evaluating the efficacy of homeopathy, including obtaining adequate documentation from traditional practitioners (38), and its plausibility against known pharmacology principles (39).",,Homeopathic medicine | Homeopathic remedy,,,Homeopathy,
DSI007835,Hoxsey Herbal Therapy,None,"Hoxsey Herbal Therapy is an alternative therapy that consists of herbal tonics and restrictive diets, and is promoted as a cancer cure. It is illegal in the United States, but has been available at clinics in Tijuana, Mexico. According to the inventor Harry Hoxsey, the principal “brown” tonic contains potassium iodide, licorice, red clover, burdock root, stillingia root, barberry, cascara, pokeweed, prickly ash bark, and buckthorn bark. The diet involves eliminating pork, vinegar, tomatoes, pickles, carbonated drinks, alcohol, bleached flour, sugar and salt, and emphasizes iron, calcium, vitamin C, yeast supplements and grape juice. Hoxsey claims the treatment detoxifies the body, strengthens the immune system, balances body chemistry, and allows the body to digest and excrete tumors. Superoxide dismutase, vitamin B12, Gerovital (a mixture of procaine hydrochloride and vitamins), “Prolobin liver,” TST-100, rosette cactus, Koch Antitoxins, BCG vaccine, and Shulte’s medications sometimes are included in the regimen. Hoxsey was convicted many times for practicing medicine without a license. The U.S. government reported that the 400 patients Hoxsey claimed to have cured never had cancer, were cured before receiving his treatment, still had cancer, or had died from the disease . The National Cancer Institute evaluated 77 case reports submitted by Hoxsey and concluded that none showed efficacy . No clinical data support the value of this therapy. The American Cancer Society strongly urges cancer patients not to use the Hoxsey treatment, as no objective evidence exists to support its efficacy .",,"Hoxsey claims that the internal formulation “stimulates the elimination of toxins that poison the system, thereby correcting the abnormal blood chemistry and normalizing cell metabolism.” His head nurse added that it restores acid/base balance, normal metabolism, and immune function, and “deals with the DNA.” None of these claims is substantiated by scientific data. The herbal tonic was developed by Hoxsey’s great grandfather, whose horse was reportedly cured of a leg tumor after eating wild herbs. Hoxsey combined these herbs with home remedies to create the “brown” tonic. In vitro and animal studies conducted with individual components (e.g., licorice, red clover, burdock, pokeroot, stillingia, barberry - see individual monographs) indicate possible anti-tumor and immunostimulant properties, but their concentrations and activity in the tonic have not been determined (1) (2).",,Hoxsey herbs | Hoxsey formula | Hoxsey method,,,Hoxsey Herbal Therapy,
DSI007836,Huanglian,None,"Derived from the rhizome of the perennial herb Coptis chinensis, huanglian is used in traditional Chinese medicine for diarrhea, vomiting, abdominal fullness, jaundice, high fever, toothache, diabetes, and eczema. Preclinical studies suggest antimicrobial, antidiabetic, antioxidant, hepatoprotective, anti-inflammatory, and anticancer effects . Alkaloids that include berberine are considered to be the bioactive components . Jatrorrhizine, a protoberberine, offset postoperative ileus-induced delayed gastric emptying and intestinal transit in mice . Studies in humans are quite limited. Preliminary data suggest huanglian and berberine exert antihyperglycemic activity, but well-designed trials are lacking . A meta-analysis of Huanglian Jiedu decoction for type 2 diabetes also cites low quality evidence and high risk of bias .",,"Potential biological effects of huanglian are attributed to berberine and berberine-like alkaloids. Berberine inhibits human hep-62 hepatoma cell growth via morphological changes and internucleosomal DNA fragmentation (3). Berberine also inhibits platelet aggregation and can antagonize thromboxane B2. In an animal model, it caused potassium channel blockade resulting in prolonged action potential in ventricular monocytes (1).
Huanglian inhibits topoisomerase I and is thought to suppress cyclin B1 protein expression, causing cancer cell arrest at the G2 phase (2). In other studies, it demonstrated antiangiogenic activity (6), induced apoptosis, and arrested cell growth by upregulating IFN-β and TNF-α in breast cancer cells (7).",,Goldthread | Chinese coptis | Coptis deltoidea | Coptis teetoides,,,Huanglian,
DSI007837,Hydrazine Sulfate,C0063067,"A synthetic chemical (H4N2-H2SO4) primarily used in industrial manufacturing such as agricultural chemicals and rocket fuel, hydrazine sulfate has been purported to treat cancer, help maintain or gain weight, and ameliorate cancer-related cachexia. Animal studies suggest that hydrazine is carcinogenic. In addition, several large randomized clinical trials failed to show benefit with hydrazine for cancer-related cachexia or to improve cancer survival . Hydrazine sulfate is classified as a potential carcinogen by the US Department of Health and Human Services. Potential adverse effects include nausea, pruritus, dizziness, peripheral neuropathies, hypoglycemia, and insomnia . Case reports have detailed fatal hepatorenal failure and encephalopathy .",,"Hydrazine sulfate is thought to inhibit phosphoenolpyruvate carboxykinase, an enzyme involved with the Cori cycle for gluconeogenesis from anaerobically metabolized lactic acid. Hydrazine therapy is used to antagonize the inappropriate activation of gluconeogenesis pathways, reduce excessive gluconeogenesis, and improve glucose tolerance particularly in patients with cancer and cancer-related cachexia (1). It is also a weak monoamine oxidase inhibitor (3). Inhibition and stabilization of glioblastoma cell growth was seen in vitro and in animal models (4), but significance in humans is unknown. Hydrazine sulfate appears to have no effect on prostate cancer cell lines in vitro (2).",,Sehydrin | Hydrazine | Hydrazine monosulfate | HS,,,Hydrazine Sulfate,
DSI007838,Indirubin,C0063469,"Indirubin is extracted from the indigo plant (Isatis Root, Isatis Leaf). It is a part of combination formulas used in traditional Chinese medicine (TCM) and clinically in Asia to treat chronic conditions including inflammation, gastrointestinal diseases, and some forms of cancer . For example, Dang Gui Long Hui Wan which contains Indigofera tinctoria has been used to treat chronic myelogenous leukemia (CML), while Qing Dai (Indigo naturalis) has been used topically for psoriasis and orally for ulcerative colitis. In vitro and animal studies indicate anti-inflammatory , antitumor , antiangiogenic , and neuroprotective effects. Indirubin also inhibits cyclin-dependent kinases in tumor cells . A derivative of indirubin enhanced the cytotoxic effects of adriamycin . Studies of indirubin in humans are limited. A few clinical trials suggest topical I. naturalis ointment is effective for psoriasis and atopic dermatitis . Oral I. naturalis induced a clinical response in ulcerative colitis , but the trial was stopped due to a prior case of pulmonary arterial hypertension, possibly related to a self-purchased product . In addition, a subsequent national survey in Japan identified 11 cases of PAH in UC patients as well as other adverse events . Short-term indigo administration in patients with mild to moderate UC appeared to be effective without serious adverse events, but the study was small and additional research is needed . In patients with Crohn’s disease, preliminary analyses suggest only modest benefit . Interim trial analysis of oral chemotherapy with an I. naturalis formulation versus intravenous chemotherapy for acute promyelocytic leukemia suggests it is as effective and may reduce hospital stays , but the final analysis has yet to be published. A small study of indirubin in the form of indigowood root powder for patients with head and neck cancer found a reduction in mucosal damage from radiation therapy . Although there are case reports of positive effects following long-term use of indirubin in CML , well-designed clinical trials are needed to confirm its role.",,"Aryl hydrocarbon receptor (AhR) ligand, the active component of Indigo naturalis, may promote mucosal healing via induction of IL-22 from innate lymphoid cells (30). Indirubin and derivatives modulate inflammation-associated signaling including NF-kappaB, STAT3, TGF-ss, and AhR (21). In human skin samples, indirubin produced anti-psoriatic effects by modulating proliferation and differentiation of keratinocytes (10).
Anticancer and neuroprotective properties are attributed to inhibition of cyclin-dependent kinases (CDKs) and glycogen synthase kinase-3 by competing with ATP binding sites (31). Indirubin-3-oxime inhibits growth of human laryngeal cancer cells via CDK inhibitor p21, cyclin D1 inhibition, and caspase-3 activation (1). In human neuroblastoma cells, it may induce cell-cycle arrest by altering mitochondrial function (20). Indirubin may also help inhibit microtubule assembly to further reduce rates of cell reproduction (11). In vivo, antiangiogenic and antiproliferative effects of an indirubin derivative was attributed in part to inhibition of VEGF/VEGFR-2 signaling (19).",,Indigo,,,Indirubin,
DSI007839,Juice Plus,C1328004,"Juice Plus (JP) is a formulation derived from a variety of fruits and vegetables that contains additional vitamins. It is marketed to complement the daily diet based on the notion that people do not consume enough fruits and vegetables. Studies on bioavailability suggest that consumption of JP can increase serum levels of alpha-carotene, vitamin C, and folate , but studies with other markers such as lutein and alpha-tocopherol yielded mixed results. JP was comparable to standard vitamin C and E supplements , but it remains unclear if this product is nutritionally superior to fresh produce. Although JP appeared to decrease plasma homocysteine levels, a risk factor for cardiovascular disease , the results were not reproducible . Other studies on cardiovascular effects such as changes in blood pressure and cholesterol levels were inconclusive . JP is thought to reduce oxidative stress and DNA damage , and has been associated with a reduction in common cold symptoms . Gastrointestinal distress and hive-like rash have been associated with intake of JP in clinical trials. In a study of head and neck cancer patients, JP appeared to increase serum micronutrient levels, but provided no clinical benefit . While there is ongoing research using JP in cancer patients, it has not been proven to prevent or treat cancers. Due to its antioxidant effects, JP may interfere with the actions of some chemotherapy drugs. Cancer patients should discuss the use of supplements with their physicians. JP is not a substitute for fresh fruits and vegetables.",,"JP is thought to have antioxidant and immunomodulating properties. It reduces some biomarkers of oxidative stress but not others (2) (3) (6). Inflammatory cytokine TNF alpha production increased up to 8 weeks following consumption of JP, but decreased thereafter. It had no effect on other markers including IL-4, IL-6, superoxide dismutase, or glutathione (6) (7) (8). JP decreased levels of plasma homocysteine, a risk factor for cardiovascular disease (1) (9), but failed to show similar effects in another study (4). Intake of phytochemical antioxidants may have a protective effect on endothelial function by preserving the bioactivity of nitric oxide (4). Consumption of fresh fruits and vegetables may lower cholesterol levels due to their high fiber content, whereas JP extract did not appreciably alter cholesterol levels (4) (5).",,"
Cancer
 | 
Cardiovascular disease
 | 
Cold symptoms
",,,Juice Plus,
DSI007840,Livingston-Wheeler Therapy,None,"Livingston-Wheeler Therapy is an alternative approach to cancer treatment that gained popularity from the 1970s to early 1990. It used several treatments to stimulate the immune system, including a strict vegetarian diet, BCG vaccine, coffee enemas, autogenous vaccine, vitamins, antibiotics, antioxidants, nutritional counseling, and support groups/counseling. The regimen was based on the theory that cancer was caused by the bacterium Progenitor cryptocides, which developer Virginia Livingston-Wheeler reported to have isolated in a wide variety of cancer tissues . A weakened immune system would then allow the bacterium to grow, and consequently the therapy’s focus was immune-stimulation. Although a number of viruses and bacteria have been associated with various cancers , a link between the bacteria named by Livingston-Wheeler and cancer was never confirmed by independent researchers. A self-selected, matched-cohort, prospective comparison of patients at Livingston-Wheeler Clinic and a conventional cancer center found no difference in survival times between groups, but did find consistently lower quality of life in the Livingston-Wheeler cohort . Metabolic diets may result in nutrient deficiencies . Repeated use of coffee enemas has been linked to several deaths from serious infection and electrolyte imbalance . In a 1990 position paper, the American Cancer Society urged cancer patients not to use these treatments .",,"Although a number of viruses, bacteria, and parasites have been associated with various cancers (8), a link between the bacteria named by Livingston-Wheeler and cancer was never confirmed by independent researchers. Rather, independent analyses of cultures provided by Livingston-Wheeler identified these bacteria as Staph epidermis, Strep faecalis, Staph faecalis, and other unrelated bacteria (1).",,Livingston therapy,,,Livingston-Wheeler Therapy,
DSI007841,naltrexone,C0027360,"Naltrexone is an opioid antagonist that was originally developed in the 1960s and approved for medical use by the FDA in the 1980s. It has been used clinically to treat opioid and alcohol addictions . More recently, low-dose naltrexone (LDN) has been promoted for off-label use as a safe and inexpensive option to treat myriad conditions including pain, inflammation, immune dysfunction, gastrointestinal, neurological, and psychological conditions, and even cancer. However, studies are quite limited. Small placebo-controlled trials suggest benefit with LDN for patients with fibromyalgia . LDN efficacy for diabetic neuropathy appears to be similar to amitriptyline, but with fewer adverse effects . In a proof-of concept study of patients with major depressive disorder who relapsed on antidepressants, LDN-augmented treatment reduced depression severity . Other pilot RCTs suggest benefit for patients with moderate to severe Crohn’s disease . However, results from studies in patients with multiple sclerosis are equivocal , and anecdotal claims of efficacy with LDN for cancer have not been examined in clinical trials. Although it is thought to be well-tolerated, larger well-designed clinical trials are needed to understand the conditions for which LDN may be safe and effective before it can be recommended.",,"Naltrexone is a semi-synthetic opioid with structural similarity to other opioid agonists and competitive antagonist activity at mu opioid receptors (10), neuromodulators with functions that include nociception, or identifying and responding to painful stimuli.
The phenomenon of paradoxical hyperalgesia discovered with morphine in animal studies, where the opposite effect occurs at about one-tenth of the dose used to relieve pain has been proposed as the mechanism by which LDN may actually reduce pain (11). Anti-inflammatory effects have been attributed to additional antagonist effects on toll-like receptor 4, nonopioid receptors found on macrophages such as microglial cells (11) (12).",,LDN,,,Low-dose naltrexone,
DSI007842,Ma Zi Ren Wan,C3884847,"Ma Zi Ren Wan (MZRW) is a traditional Chinese medicine (TCM) formula with a long history of use as a treatment for constipation. Documented in Shang Han Lun (TCM Treatise on Cold-induced Disorders), it consists of six herbs: Huo Ma Ren (Fructus Cannabis), Da Huang (Radix et Rhizoma Rhei), Bai Shao (Radix Paeoniae Alba), Xing Ren (Semen Armeniacae Amarum), Zhi Shi (Fructus Aurantii Immaturus), and Hou Pu (Cortex Magnoliae Officinalis). According to a systematic review, MZRW is the most commonly used herbal formula for constipation in China , particularly by elderly patients and women . A population-based study reported it is also among the formulas commonly prescribed to prostate cancer patients in Taiwan . Much of available data of MZRW’s clinical effects are limited to Asian populations. In a three-armed randomized controlled trial involving patients with functional constipation, MZRW was found to be equally effective as senna, a popular herbal laxative, in increasing complete spontaneous bowel movement (CSBM). Compared to the senna and placebo groups, the MZRW arm also had a significant increase in colonic transit along with decreased severity in straining, constipation, incomplete evacuation, and global constipation symptoms. Benefits were also more durable in the MZRW group . Similar improvements have been reported in other randomized double-blind studies. Patients with functional constipation who took MZRW had increased CSBM and reductions in constipation severity and use of rescue therapy compared to the placebo group . In a pilot RCT for palliative cancer patients with constipation, modified MZRW was well-tolerated, increased in stool frequency, and reduced constipation severity and straining versus placebo . A systematic review and meta-analysis (17 trials, 1681 patients) concluded that MZRW is beneficial against functional constipation in Asian populations. In addition, MZRW did not increase adverse events compared to controls . Of note, four studies in this review involved pediatric and adult cancer patients with chemotherapy-induced and opioid-associated constipation. More well-designed trials are needed to strengthen the evidence base surrounding MZRW. Methodologically robust studies are also warranted to determine its potential in relieving non-functional constipation, as well as effectiveness in diverse populations.",,"The mechanisms of action via which MZRW exerts its effects are not fully known. Findings to date suggest that its components – Fructus Immaturus Citri Aurantii (Zhi Shi), Semen Cannabis Sativae (Ma Zi Ren, also known as Huo Ma Ren) and Semen Pruni Armeniacae (Xing Ren) – may soften stool, reduce water absorption, activate intestinal mucosa, and reestablish gastrointestinal homeostasis to strengthen colonic motility and alleviate constipation. Treatment with MZRW has also been associated with decreased levels of circulating oleamide, a known regulator of intestinal motility (12) (13).",,Hemp Seed Pill | Hemp Seed Formula | Mashiningan | TJ-126,,,Ma Zi Ren Wan,
DSI007843,Magnet Therapy,None,"Magnet therapy is an alternative treatment available in clinics in Mexico, Germany, and elsewhere. It is promoted to diagnose and treat cancer, AIDS, psychiatric disorders, stress, multiple sclerosis, infections, and to increase energy, prolong life, and stimulate the immune system. Magnetic fields are administered by application of magnets to certain parts of the body, by magnetic field-generating machines, or with magnetic mattresses or blankets. Treatment can last minutes to weeks. Evidence supporting the use of magnetic therapies for the above conditions is limited. State consumer protection agencies and the FDA have prosecuted various marketers of magnetized devices and therapies, forcing them to halt unsubstantiated claims of health benefits. In vitro studies show that static magnetic fields may modulate ion transport and related cell and neuronal activity , but the physiological significance of these findings is unknown. No anticancer activity has been demonstrated. Patients also use magnetized braces and mattresses to treat pain associated with fibromyalgia, diabetic neuropathy, sciatica, and arthritis. Although small studies have reported improvements in pain associated with conditions such as diabetic neuropathy , fibromyalgia , and arthritis , results are often indistinguishable from placebo effects. Some preliminary findings suggest pulsed magnetic therapy may help alleviate paresthesia better than placebo in patients with multiple sclerosis , and reduce pain and disability in patients with back pain . Also, synchronized transcranial magnetic stimulation may be useful in patients with major depressive disorder , but these are specific technologies that are still being evaluated in clinical settings for potential safety and efficacy. Body magnets are contraindicated in radiology and/or magnetic resonance procedures. Patients with cardiac pacemakers and pregnant women should also avoid use of magnetic devices. Magnetic therapies have no role in the diagnosis or treatment of cancer.",,"Marketers make varying unsubstantiated claims for how magnets work, such as: magnets “act upon the body’s energy field,” or correct “magnetic field deficiency syndrome,” (1) a condition said to result from decreases in the earth’s magnetic field over the past 1,000 years. It is purported that the positive (south) pole of the magnet has a “stress effect,” which interferes with metabolic functioning, produces acidity, reduces cellular oxygen supply, and encourages the replication of latent microorganisms. The negative (north) pole is said to have a “calming effect” and helps to normalize metabolic functioning, promote oxygenation, and treat neurological/psychiatric disorders. No evidence supports these claims, and no anticancer activity is seen with magnetic fields in laboratory or human studies. Most anecdotes of magnetic “healing” involve symptoms that may be psychosomatic, associated with stress, or subjective measures such as pain or depression (3).
Theoretically, static magnetic fields (SMFs) may alter ion flow, cellular potential, membrane configuration, ion pump activity, or neurotransmitter release (4). Most of the biological phenomena associated with SMFs may be caused by changes in cellular calcium (8). SMFs of 1,000-4,000 G are found to alter protein and enzyme structure and the kinetics of reactions involving free radicals (7) (9). Reduced action potential firing in cultured neurons and permeability changes in synthetic liposome vesicles are observed after application of a SMF (5). It may not be legitimate to extrapolate in vitro data in which cells are directly exposed to magnetic fields, to their effect in a complex biological system. Moreover, many in vitro studies have not been replicated. Although some authors refer to documented effects of pulsed electromagnetic fields in attempting to explain a mechanism of action for static magnets, SMFs do not generate an electric field and therefore cannot confer the claimed physiologic effects (10). It is suggested that positive reports of magnet use reflect placebo effects.",,Biomagnetic therapy | Electromagnetic field therapy,,,Magnet Therapy,
DSI007844,Maitake,C3486792,"Maitake is an edible mushroom consumed widely in Asia as food and used in traditional medicine to treat diabetes and hypertension. Its extracts are commercially available as dietary supplements marketed to “enhance immune function” and to treat AIDS and cancer. Beta 1,6-glucan, a protein-bound polysaccharide, has been identified as the active constituent. In preclinical studies, various formulations suggest protective effects against parasites , high insulin and lipid levels , and inflammation . Antitumor potential , enhanced bone marrow colony formation, reduced doxorubicin toxicity , and enhanced interferon activity have also been shown. In murine models, orally administered extracts promoted maturation of hematopoietic cells to functionally active myeloid cells, enhanced peripheral blood leukocyte recovery following chemotoxic bone marrow injury , and protected against cyclophosphamide-induced immunosuppression . Data in humans are limited. In a small case series, tumor regression or significant improvements in symptoms were observed in some subjects who took maitake extract . In small trials, oral maitake extract appeared to have immunomodulatory effects in postmenopausal breast cancer patients , and enhanced neutrophil and monocyte function in patients with myelodysplastic syndrome . More studies are underway to evaluate maitake’s anticancer potential.",,"Preclinical studies suggest antidiabetic effects with alpha-glucan via increased insulin sensitivity on insulin receptors and decreased insulin resistance in peripheral target tissues (12). Antilipidemic effects with maitake polysaccharides occurred by modulating gut microbial phylotypes and regulating genes involved in hepatic lipid and cholesterol metabolism (34).
In other experiments, maitake activated various effector cells such as macrophages, NK and T cells, IL-1, and superoxide anions (2) (3) (4) (13). It may modulate antigen presentation by protecting against tumor implantation following transfer of dendritic cells from tumor-bearing mice treated with maitake (15). Maitake D fraction demonstrated antitumor activity by upregulating proapoptotic BAK-1 (23), blocking tumor invasiveness, and reducing angiogenesis (26). It also enhanced growth and differentiation of mouse bone marrow cells treated with doxorubicin (11). Maitake polysaccharides induced apoptosis via the mitochondrial-dependent apoptotic pathway in human breast cancer cells (27). The beta glucan GFPBW1 activated macrophages via the Dectin-1/Syk/NF-κB signaling pathway (24), and oral alpha-glucan activated dendritic cells and macrophages in small intestine lymphoid tissue, inducing a systemic antitumor T-cell response (28).",Maitake mushroom is an edible fungus. The whole mushroom can be fried or boiled.,King of mushrooms | Dancing mushroom | Cloud mushroom | Hen of the woods,,,Maitake,
DSI007845,Manuka Honey,C2347055,"Manuka honey is collected from beehives around the Manuka bush (Leptospermum scoparium), a plant indigenous to Australia and New Zealand. It has been used both as food and as a topical treatment for wounds, burns, and ulcers. Preclinical findings indicate antibacterial , anti-inflammatory , antioxidant, and anti-ulcer properties as well as effectiveness against several antibiotic-resistant bacteria . Small clinical studies suggest potential benefits of manuka honey preparations for wound healing , atopic dermatitis , gingivitis , oral hygiene , rhinosinusitis , corneal edema , and dry eye symptoms . However, randomized trials did not find it more effective than standard treatments for catheter-associated bacterial infections , nasal decolonization of meticillin-resistant S. aureus (MRSA) , venous leg ulcers , or eyelid surgical wounds . Although manuka honey has been used to increase beneficial bacteria levels and relieve gastrointestinal problems, it was not found useful in healthy subjects . It also did not reduce cholesterol levels in subjects with hypercholesterolemia . Findings of manuka honey’s utility against cancer treatment-induced oral mucositis are conflicting . It was also not superior to supportive care in preventing radiation esophagitis, but reduced opioid use . Confirmatory studies are needed.",,"Flavonoids present in manuka honey demonstrated anti-inflammatory, antimicrobial, and anticancer properties (13). Methylglyoxal, a phytochemical, is the major bactericidal factor and promotes free radical generation (14) (21). Manuka honey was shown to reduce motility of Pseudomonas aeruginosa, a gram negative bacterium and opportunistic pathogen, by suppressing genes associated with its flagella, thereby reducing virulence (34). It also inhibited the formation of biofilm, a complex polysaccharide structure produced by some bacteria such as Clostridium dificile, which confers antibiotic resistance (30). Anti-ulcer effects are attributed to increased gastric mucosal levels of glutathione peroxidase and superoxide dismutase and reductions of inflammatory cytokines including tumor necrosis factor (TNF-alpha), Interleukins 1-beta and 6 (27).
Manuka honey enhanced effects of antioxidants in animal studies (15) and promoted wound healing by modulating cytokine production (4) and lowering pH on wound surfaces (16). Some products list antibacterial potency by using a Unique Manuka Factor (UMF) rating, which is equal to the inhibitory potential of a phenolic solution of the same strength (7). However, clinical relevance of this measurement is unclear.",,Tea tree honey | Australian tea tree honey | Active Manuka honey | Antibacterial honey,,,Manuka Honey,
DSI007846,Metabolic Therapies,None,"As strict dietary and detoxification regimens promoted to prevent and treat cancer and degenerative diseases, metabolic therapies are based on the theory that these conditions are caused by an accumulation of toxic substances in the body. Advocates claim that a healthy diet and practices including coffee enemas, herbal laxatives, and immune augmentation detoxify the body and allow it to heal naturally. Therapies such as Gerson, Kelley, Contreras, Manner, and Gonzalez share this ideology but differ in modality. The diets are often based on whole foods including fresh fruits and vegetables, and are supplemented by digestive enzymes, glandular extracts, megadose vitamins, minerals, or herbal products. Agents such as hydrazine sulphate, hydrogen peroxide, or laetrile may also be administered. Retrospective reviews of the Gerson, Kelley, and Contreras therapies show no evidence of efficacy. Results from a study involving patients with inoperable pancreatic cancer showed a decrease in overall survival and poorer quality of life with proteolytic enzymes, often used to supplement a metabolic therapy diet, compared with standard gemcitabine-based chemotherapy . Although dietary remedies provide a strong sense of personal control, the strict recommendations of some metabolic therapies can cause nutritional deficiencies, while some entail potentially toxic doses of supplements or agents. Coffee enemas can cause sepsis, dangerous electrolyte deficiencies, and death. The American Cancer Society urges cancer patients not to seek treatment with metabolic therapies.",,"Advocates of metabolic therapies claim that cancer and other diseases result from an accumulation of toxins in the body from food additives, preservatives, pesticides, and industrial pollution that disrupt the immune system and cell metabolism. The removal of these toxins through bowel purging and a healthy diet, they claim, allows the body to heal naturally. While diet may play a role in cancer prevention and some cancers are associated with environmental exposures, strict dietary restrictions, as in the Gerson regimen, cause nutritional deficiencies.
Caffeine in coffee enemas is purported to cause dilation of bile ducts, bile production, glutathione S-transferase (GST) activation, and excretion of toxic breakdown products by the liver and through the colon wall. Kahweol and cafestol are constituents of green coffee that stimulate GST activation, but their activity is destroyed with roasting. Repeated administration of coffee enemas increases extravascular fluid volume and can cause serum electrolyte imbalances. Significant loss of bile salts associated with repeated long-term administration of enemas can result in malabsorption of fat, fat-soluble vitamins, and calcium (2) (3) (4). Mechanisms by which coffee enemas may induce mucosal damage include ischemia and inflammation (11).",,Nutritional therapies | Gerson Regimen | Kelley therapy | Gonzalez regimen | Contreras therapy | Manner therapy,,,Metabolic Therapies,
DSI007847,mgn-3,C0963824,"MGN-3 is a proprietary product derived from rice bran treated with extracts from three mushrooms: shiitake (Lentinus edodes), kawaratake (Coriolus versicolor), and suehirotake (Schizophyllum commune). Promoters of MGN-3 claim that it improves immune functioning against cancer and AIDS. In vitro and animal studies suggest MGN-3 might be useful in mounting immune responses against infections and cancer , facilitate apoptosis of human T-cell leukemia cells , and protect against weight loss induced by cisplatin and radiation . Other preclinical models suggest it may act as a chemosensitizer and radiosensitizer , and exert cytotoxic and chemopreventive effects. A few small short-term studies of MGN-3 have been conducted in humans. Some suggest improvements in irritable bowel symptoms , health-related quality of life in older adults and reduced viral load in patients with chronic hepatitis C . In small studies of cancer patients, MGN-3 increased overall response and reduced adverse effects of standard therapies , and improved immunomodulatory function . Other preliminary studies suggest possible benefit with rice bran arabinoxylan in combination with curcumin for patients with early-stage blood cancers .",,"MGN-3 is an arabinoxylan from rice bran made using enzymes from mycelia of shiitake, kawaratake, and suehirotake mushrooms. The bioactive constituents are thought to be polysaccharides, which modulate TNF-alpha and IFN-gamma secretion, and augment NK cell function in vitro (3).
In rat models, MGN-3 exerted protective effects against liver injury by reducing expression of IL-18 (13). It also protected against hepatitis by suppressing inhibition of NF-κB, JNK phosphorylation, and CD14 expression (14).
MGN-3 displayed synergistic effects with paclitaxel by causing DNA damage, enhancing apoptosis, and inhibiting cell proliferation in murine breast cancer cells (10). In another study, MGN-3 exerted antioxidative activity and protected against radiation-induced loss of body and organ weight in mice (11).
In a study of myeloma patients, MGN-3 increased NK cell activity, the number of myeloid dendritic cells in peripheral blood, and concentrations of T helper cell type 1-related cytokines (12).","Rice, mushrooms",Modified rice bran | Arabinoxylan rice bran,,,MGN-3,
